#datatype measurement,double,dateTime:RFC3339
measurement,value,time
Gaz_Analyzer_9,0.029,2022-01-17T09:40:03Z
Gaz_Analyzer_9,0.026,2022-01-17T10:00:04Z
Gaz_Analyzer_9,0.028,2022-01-17T10:20:04Z
Gaz_Analyzer_9,0.023,2022-01-17T10:40:02Z
Gaz_Analyzer_9,0.029,2022-01-17T11:00:03Z
Gaz_Analyzer_9,0.069,2022-01-17T11:20:04Z
Gaz_Analyzer_9,0.031,2022-01-17T11:40:03Z
Gaz_Analyzer_9,0.022,2022-01-17T12:00:03Z
Gaz_Analyzer_9,0.017,2022-01-17T12:20:03Z
Gaz_Analyzer_9,0.013,2022-01-17T12:40:02Z
Gaz_Analyzer_9,0.014,2022-01-17T13:00:03Z
Gaz_Analyzer_9,0.028,2022-01-17T13:20:03Z
Gaz_Analyzer_9,0.02,2022-01-17T13:40:03Z
Gaz_Analyzer_9,0.04,2022-01-17T14:00:03Z
Gaz_Analyzer_9,0.045,2022-01-17T14:20:03Z
Gaz_Analyzer_9,0.045,2022-01-17T14:40:03Z
Gaz_Analyzer_9,0.034,2022-01-17T15:00:04Z
Gaz_Analyzer_9,0.021,2022-01-17T15:20:03Z
Gaz_Analyzer_9,0.02,2022-01-17T15:40:03Z
Gaz_Analyzer_9,0.024,2022-01-17T16:00:02Z
Gaz_Analyzer_9,0.032,2022-01-17T16:20:03Z
Gaz_Analyzer_9,0.023,2022-01-17T16:40:03Z
Gaz_Analyzer_9,0.021,2022-01-17T17:00:07Z
Gaz_Analyzer_9,0.014,2022-01-17T17:20:02Z
Gaz_Analyzer_9,0.013,2022-01-17T17:40:03Z
Gaz_Analyzer_9,0.017,2022-01-17T18:00:03Z
Gaz_Analyzer_9,0.026,2022-01-17T18:20:03Z
Gaz_Analyzer_9,0.024,2022-01-17T18:40:03Z
Gaz_Analyzer_9,0.021,2022-01-17T19:00:03Z
Gaz_Analyzer_9,0.009,2022-01-17T19:20:03Z
Gaz_Analyzer_9,0.01,2022-01-17T19:40:04Z
Gaz_Analyzer_9,0.009,2022-01-17T20:00:03Z
Gaz_Analyzer_9,0.013,2022-01-17T20:20:04Z
Gaz_Analyzer_9,0.011,2022-01-17T20:40:03Z
Gaz_Analyzer_9,0.015,2022-01-17T21:00:03Z
Gaz_Analyzer_9,0.014,2022-01-17T21:20:03Z
Gaz_Analyzer_9,0.019,2022-01-17T21:40:02Z
Gaz_Analyzer_9,0.018,2022-01-17T22:00:03Z
Gaz_Analyzer_9,0.021,2022-01-17T22:20:05Z
Gaz_Analyzer_9,0.016,2022-01-17T22:40:04Z
Gaz_Analyzer_9,0.02,2022-01-17T23:00:03Z
Gaz_Analyzer_9,0.027,2022-01-17T23:20:02Z
Gaz_Analyzer_9,0.03,2022-01-17T23:40:02Z
Gaz_Analyzer_9,0.027,2022-01-18T00:00:04Z
Gaz_Analyzer_9,0.026,2022-01-18T00:20:02Z
Gaz_Analyzer_9,0.02,2022-01-18T00:40:03Z
Gaz_Analyzer_9,0.021,2022-01-18T01:00:03Z
Gaz_Analyzer_9,0.019,2022-01-18T01:20:03Z
Gaz_Analyzer_9,0.016,2022-01-18T01:40:03Z
Gaz_Analyzer_9,0.014,2022-01-18T02:00:03Z
Gaz_Analyzer_9,0.017,2022-01-18T02:20:02Z
Gaz_Analyzer_9,0.019,2022-01-18T02:40:03Z
Gaz_Analyzer_9,0.016,2022-01-18T03:00:03Z
Gaz_Analyzer_9,0.012,2022-01-18T03:20:02Z
Gaz_Analyzer_9,0.014,2022-01-18T03:40:03Z
Gaz_Analyzer_9,0.014,2022-01-18T04:00:03Z
Gaz_Analyzer_9,0.013,2022-01-18T04:20:03Z
Gaz_Analyzer_9,0.014,2022-01-18T04:40:02Z
Gaz_Analyzer_9,0.018,2022-01-18T05:00:04Z
Gaz_Analyzer_9,0.034,2022-01-18T05:20:02Z
Gaz_Analyzer_9,0.034,2022-01-18T05:40:02Z
Gaz_Analyzer_9,0.029,2022-01-18T06:00:04Z
Gaz_Analyzer_9,0.039,2022-01-18T06:20:05Z
Gaz_Analyzer_9,0.045,2022-01-18T06:40:04Z
Gaz_Analyzer_9,0.022,2022-01-18T07:00:03Z
Gaz_Analyzer_9,0.028,2022-01-18T07:20:03Z
Gaz_Analyzer_9,0.032,2022-01-18T07:40:03Z
Gaz_Analyzer_9,0.033,2022-01-18T08:00:02Z
Gaz_Analyzer_9,0.025,2022-01-18T08:20:05Z
Gaz_Analyzer_9,0.029,2022-01-18T08:40:04Z
Gaz_Analyzer_9,0.035,2022-01-18T09:00:03Z
Gaz_Analyzer_9,0.035,2022-01-18T09:20:02Z
Gaz_Analyzer_9,0.035,2022-01-18T09:40:02Z
Gaz_Analyzer_9,0.039,2022-01-18T10:00:05Z
Gaz_Analyzer_9,0.028,2022-01-18T10:20:07Z
Gaz_Analyzer_9,0.023,2022-01-18T10:40:03Z
Gaz_Analyzer_9,0.026,2022-01-18T11:00:02Z
Gaz_Analyzer_9,0.024,2022-01-18T11:20:03Z
Gaz_Analyzer_9,0.028,2022-01-18T11:40:05Z
Gaz_Analyzer_9,0.042,2022-01-18T12:00:03Z
Gaz_Analyzer_9,0.046,2022-01-18T12:20:02Z
Gaz_Analyzer_9,0.051,2022-01-18T12:40:03Z
Gaz_Analyzer_9,0.039,2022-01-18T13:00:02Z
Gaz_Analyzer_9,0.035,2022-01-18T13:20:03Z
Gaz_Analyzer_9,0.033,2022-01-18T13:40:03Z
Gaz_Analyzer_9,0.047,2022-01-18T14:00:02Z
Gaz_Analyzer_9,0.068,2022-01-18T14:20:02Z
Gaz_Analyzer_9,0.079,2022-01-18T14:40:03Z
Gaz_Analyzer_9,0.099,2022-01-18T15:00:03Z
Gaz_Analyzer_9,0.074,2022-01-18T15:20:02Z
Gaz_Analyzer_9,0.066,2022-01-18T15:40:03Z
Gaz_Analyzer_9,0.078,2022-01-18T16:00:03Z
Gaz_Analyzer_9,0.096,2022-01-18T16:20:03Z
Gaz_Analyzer_9,0.085,2022-01-18T16:40:04Z
Gaz_Analyzer_9,0.092,2022-01-18T17:00:02Z
Gaz_Analyzer_9,0.094,2022-01-18T17:20:03Z
Gaz_Analyzer_9,0.084,2022-01-18T17:40:03Z
Gaz_Analyzer_9,0.075,2022-01-18T18:00:02Z
Gaz_Analyzer_9,0.081,2022-01-18T18:20:02Z
Gaz_Analyzer_9,0.084,2022-01-18T18:40:02Z
Gaz_Analyzer_9,0.075,2022-01-18T19:00:03Z
Gaz_Analyzer_9,0.078,2022-01-18T19:20:03Z
Gaz_Analyzer_9,0.076,2022-01-18T19:40:02Z
Gaz_Analyzer_9,0.066,2022-01-18T20:00:03Z
Gaz_Analyzer_9,0.073,2022-01-18T20:20:02Z
Gaz_Analyzer_9,0.09,2022-01-18T20:40:02Z
Gaz_Analyzer_9,0.089,2022-01-18T21:00:02Z
Gaz_Analyzer_9,0.071,2022-01-18T21:20:02Z
Gaz_Analyzer_9,0.047,2022-01-18T21:40:03Z
Gaz_Analyzer_9,0.044,2022-01-18T22:00:03Z
Gaz_Analyzer_9,0.046,2022-01-18T22:20:04Z
Gaz_Analyzer_9,0.043,2022-01-18T22:40:04Z
Gaz_Analyzer_9,0.054,2022-01-18T23:00:04Z
Gaz_Analyzer_9,0.069,2022-01-18T23:20:04Z
Gaz_Analyzer_9,0.064,2022-01-18T23:40:02Z
Gaz_Analyzer_9,0.06,2022-01-19T00:00:03Z
Gaz_Analyzer_9,0.056,2022-01-19T00:20:03Z
Gaz_Analyzer_9,0.059,2022-01-19T00:40:03Z
Gaz_Analyzer_9,0.052,2022-01-19T01:00:03Z
Gaz_Analyzer_9,0.048,2022-01-19T01:20:03Z
Gaz_Analyzer_9,0.044,2022-01-19T01:40:03Z
Gaz_Analyzer_9,0.039,2022-01-19T02:00:03Z
Gaz_Analyzer_9,0.048,2022-01-19T02:20:04Z
Gaz_Analyzer_9,0.047,2022-01-19T02:40:02Z
Gaz_Analyzer_9,0.051,2022-01-19T03:00:03Z
Gaz_Analyzer_9,0.054,2022-01-19T03:20:03Z
Gaz_Analyzer_9,0.059,2022-01-19T03:40:04Z
Gaz_Analyzer_9,0.056,2022-01-19T04:00:03Z
Gaz_Analyzer_9,0.066,2022-01-19T04:20:03Z
Gaz_Analyzer_9,0.076,2022-01-19T04:40:03Z
Gaz_Analyzer_9,0.082,2022-01-19T05:00:02Z
Gaz_Analyzer_9,0.097,2022-01-19T05:20:02Z
Gaz_Analyzer_9,0.07,2022-01-19T05:40:02Z
Gaz_Analyzer_9,0.054,2022-01-19T06:00:05Z
Gaz_Analyzer_9,0.064,2022-01-19T06:20:03Z
Gaz_Analyzer_9,0.039,2022-01-19T07:00:23Z
Gaz_Analyzer_9,0.042,2022-01-19T07:20:03Z
Gaz_Analyzer_9,0.039,2022-01-19T07:40:03Z
Gaz_Analyzer_9,0.039,2022-01-19T07:46:01Z
Gaz_Analyzer_9,0.039,2022-01-19T08:00:05Z
Gaz_Analyzer_9,0.041,2022-01-19T08:20:02Z
Gaz_Analyzer_9,0.041,2022-01-19T08:40:11Z
Gaz_Analyzer_9,0.048,2022-01-19T09:00:02Z
Gaz_Analyzer_9,0.054,2022-01-19T09:20:03Z
Gaz_Analyzer_9,0.051,2022-01-19T09:40:04Z
Gaz_Analyzer_9,0.052,2022-01-19T10:00:04Z
Gaz_Analyzer_9,0.103,2022-01-19T10:20:03Z
Gaz_Analyzer_9,0.079,2022-01-19T10:40:04Z
Gaz_Analyzer_9,0.063,2022-01-19T11:00:02Z
Gaz_Analyzer_9,0.06,2022-01-19T11:20:04Z
Gaz_Analyzer_9,0.056,2022-01-19T11:40:02Z
Gaz_Analyzer_9,0.07,2022-01-19T12:00:03Z
Gaz_Analyzer_9,0.06,2022-01-19T12:20:03Z
Gaz_Analyzer_9,0.063,2022-01-19T12:40:03Z
Gaz_Analyzer_9,0.08,2022-01-19T13:00:04Z
Gaz_Analyzer_9,0.102,2022-01-19T13:20:03Z
Gaz_Analyzer_9,0.107,2022-01-19T13:40:04Z
Gaz_Analyzer_9,0.093,2022-01-19T14:00:06Z
Gaz_Analyzer_9,0.11,2022-01-19T14:20:07Z
Gaz_Analyzer_9,0.116,2022-01-19T14:40:06Z
Gaz_Analyzer_9,0.112,2022-01-19T15:00:03Z
Gaz_Analyzer_9,0.096,2022-01-19T15:20:04Z
Gaz_Analyzer_9,0.097,2022-01-19T15:40:04Z
Gaz_Analyzer_9,0.17,2022-01-19T16:00:04Z
Gaz_Analyzer_9,0.18,2022-01-19T16:20:04Z
Gaz_Analyzer_9,0.208,2022-01-19T16:40:03Z
Gaz_Analyzer_9,0.212,2022-01-19T17:00:02Z
Gaz_Analyzer_9,0.249,2022-01-19T17:20:04Z
Gaz_Analyzer_9,0.243,2022-01-19T17:40:03Z
Gaz_Analyzer_9,0.244,2022-01-19T18:00:03Z
Gaz_Analyzer_9,0.176,2022-01-19T18:20:02Z
Gaz_Analyzer_9,0.183,2022-01-19T18:40:05Z
Gaz_Analyzer_9,0.221,2022-01-19T19:00:04Z
Gaz_Analyzer_9,0.284,2022-01-19T19:20:03Z
Gaz_Analyzer_9,0.144,2022-01-19T19:40:03Z
Gaz_Analyzer_9,0.128,2022-01-19T20:00:04Z
Gaz_Analyzer_9,0.118,2022-01-19T20:20:03Z
Gaz_Analyzer_9,0.093,2022-01-19T20:40:03Z
Gaz_Analyzer_9,0.068,2022-01-19T21:00:03Z
Gaz_Analyzer_9,0.06,2022-01-19T21:20:04Z
Gaz_Analyzer_9,0.047,2022-01-19T21:40:03Z
Gaz_Analyzer_9,0.034,2022-01-19T22:00:04Z
Gaz_Analyzer_9,0.041,2022-01-19T22:20:04Z
Gaz_Analyzer_9,0.048,2022-01-19T22:40:05Z
Gaz_Analyzer_9,0.159,2022-01-19T23:00:03Z
Gaz_Analyzer_9,0.257,2022-01-19T23:20:04Z
Gaz_Analyzer_9,0.261,2022-01-19T23:40:04Z
Gaz_Analyzer_9,0.6,2022-01-20T00:00:03Z
Gaz_Analyzer_9,1.09,2022-01-20T00:20:04Z
Gaz_Analyzer_9,0.524,2022-01-20T00:40:03Z
Gaz_Analyzer_9,0.442,2022-01-20T01:00:03Z
Gaz_Analyzer_9,0.281,2022-01-20T01:20:02Z
Gaz_Analyzer_9,0.2,2022-01-20T01:40:04Z
Gaz_Analyzer_9,0.138,2022-01-20T02:00:03Z
Gaz_Analyzer_9,0.108,2022-01-20T02:20:03Z
Gaz_Analyzer_9,0.181,2022-01-20T02:40:02Z
Gaz_Analyzer_9,0.232,2022-01-20T03:00:04Z
Gaz_Analyzer_9,0.21,2022-01-20T03:20:03Z
Gaz_Analyzer_9,0.218,2022-01-20T03:40:03Z
Gaz_Analyzer_9,0.26,2022-01-20T04:00:03Z
